,mean,std,var,min,q25,median,q75,max
ELK3,0.02345161005252654,0.015211346505292054,0.00023138506250406076,0.0,0.0126221811744785,0.0212422073424151,0.0314592472870006,0.3841299161086739
ELF1,0.04762757966335416,0.015113844364729774,0.00022842829148127396,0.0097263671422536,0.0379924505675701,0.0458825613561724,0.0544608424294455,0.1758411348677486
RORB,0.0024278133221583512,0.015039817350936896,0.00022619610594954253,0.0,0.0,0.0,0.0,0.247495446265938
BCL11B,0.016967079364304458,0.014881478031646127,0.00022145838840636627,0.0,0.0065479555304315,0.0145798002638025,0.0237893348407763,0.2161296400979838
JUNB,0.015300268006476254,0.014807471970959026,0.0002192612261707372,0.0,0.0029713114754098,0.0122267759562841,0.0226434426229508,0.2949112021857923
ZIC1,0.013963213080364651,0.014799160209036683,0.00021901514289273465,0.0,0.0,0.0109940150923757,0.0213374967473328,0.1495576372625553
RARB,0.024224862819671622,0.014776737397102068,0.0002183519681029148,0.0,0.0136796632698272,0.0223932949342785,0.032233052724856,0.2191146064096883
HLTF,0.0173728542472366,0.014467014237155316,0.0002092945009380546,0.0,0.0064055859137826,0.0142683667273831,0.0257741347905282,0.1180631451123254
PGR,0.003793191823055495,0.01437228999851265,0.00020656271980134673,0.0,0.0,0.0,0.0,0.2898451730418943
ATF1,0.019058149117791263,0.014175276698964652,0.0002009384694922102,0.0,0.0079781420765027,0.0170491803278688,0.0275136612021857,0.1125956284153005
FOSL2,0.009654880659599057,0.01362750672973137,0.00018570893966887378,0.0,0.0,0.0039032006245121,0.0147540983606557,0.3232630757220921
GATA3,0.012668872204453323,0.013603594710029065,0.00018505778903473076,0.0,0.0013020833333333,0.0101818647540983,0.0187628073770491,0.3752988387978142
MEF2C,0.016151069320921797,0.013419780276305537,0.00018009050266431912,0.0,0.0069151033744577,0.0131541884964227,0.0218015886428933,0.1352036504985634
ZNF148,0.013319014553631893,0.013355035329133774,0.00017835696864241122,0.0,0.0029899989689658,0.0106454273636457,0.0192030106196515,0.2236570780492834
NEUROD1,0.003518842272337138,0.012993650935230168,0.00016883496462660782,0.0,0.0,0.0,0.0,0.2222222222222222
YY1,0.007070630898428537,0.012943546327221512,0.0001675353915249295,0.0,0.0,0.0,0.0080327868852459,0.1560655737704918
TCF7L2,0.012186766634809722,0.0128033057991207,0.00016392463938579775,0.0,0.0037462678158976,0.0089713255591234,0.0166469494676356,0.236958481212326
SOX17,0.0034643950041479774,0.012737012807409192,0.0001622314952561058,0.0,0.0,0.0,0.0,0.3998829039812646
ETV6,0.01075759801395943,0.012158857270656019,0.00014783781012818472,0.0,0.0,0.0080859548072662,0.0162088317826022,0.2444247526214739
NR3C1,0.01259908806638159,0.012151059953502045,0.00014764825799360113,0.0,0.0025252525252525,0.0102666004305348,0.0186703096539162,0.1394477562510349
BACH2,0.03291330795926567,0.012033961191503354,0.00014481622195860883,0.0023692859879418,0.0246607384106627,0.0312140826326296,0.0391184239711249,0.1330580928760107
SHOX2,0.011461436182914656,0.012004905692599394,0.00014411776068820533,0.0,0.0001339333547626,0.0088931747562412,0.01775956284153,0.1330493946212364
TAL1,0.0026180547127666667,0.01195025395115205,0.00014280856949702519,0.0,0.0,0.0,0.0,0.167411823149528
CLOCK,0.006386889596526296,0.011558392015387144,0.00013359642598136527,0.0,0.0,0.0,0.0078551912568306,0.1014344262295082
